Mouse: 1268, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1268, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1269, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1270, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1270, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1270, 357 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1270, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1270, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1268, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1263, 360 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1256, 364 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1246, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1234, 380 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1222, 388 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1209, 398 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1196, 408 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1179, 418 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1173, 423 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1080, 393 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1100, 390 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1114, 387 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1131, 382 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1180, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1224, 372 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1245, 369 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1262, 368 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1280, 368 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1292, 368 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1298, 368 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1306, 369 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1310, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1312, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1314, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1316, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1317, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1318, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1318, 372 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1320, 372 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1322, 372 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1323, 372 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1324, 374 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1328, 374 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1328, 374 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1330, 374 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1332, 375 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1334, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1335, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1336, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1336, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1338, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1340, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1340, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1341, 378 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1342, 378 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1342, 378 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1342, 380 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1342, 380 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1341, 380 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1338, 380 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1330, 382 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1320, 388 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1300, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1275, 405 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1246, 414 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1214, 424 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1178, 436 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1198, 524 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1182, 524 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 992, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 988, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 988, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 987, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 986, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 986, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 984, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 982, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 982, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 984, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1164, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1166, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1167, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1168, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1168, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1170, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1170, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1170, 432 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1170, 430 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1170, 430 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1168, 430 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1168, 429 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1167, 429 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1166, 428 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1162, 426 | UIA: PySide6.QtCore.QRect(672, 441, 480, 600) | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1170, 484 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1179, 477 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1184, 472 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1188, 468 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1196, 464 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1204, 456 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1216, 448 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1228, 441 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1239, 436 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1246, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1250, 430 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1254, 429 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1264, 428 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1275, 422 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1287, 416 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1298, 414 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1310, 410 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1314, 408 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1324, 404 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1329, 404 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1336, 400 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1340, 400 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1342, 398 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1346, 398 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1348, 398 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1348, 396 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1352, 396 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1352, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1352, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1352, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1350, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1348, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1344, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1340, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1334, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1324, 394 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
